,Name,Description,date_guess,type_guess
15,"Show Low, AZ",Looking to start a jam in Show Low Arizona area. Any takers ? My email is collinsman92@gmail.com<br><br>CR 12/28/2019,jam in Show Low Arizona,annual event
16,"*Sierra Vista, Arizona-check back in September","This Jam is temporarily Hanging Fire due to Covid. When it does get back up and running this jam is Once a month, usually 3rd Saturdays, 1-7pm. Details are here: http://arthritisbrothers.com/map.html Contact info: e-mail AZJohnB2012@gmail.com<br>John Beland 520 266 0697<br>John Clabourne 520 378 0691<br>Earl Rigg 520 803 9918                                          JS 12/1/21",3rd Saturdays,weekly gathering
20,"*Tucson, AZ","Southern Arizona Old Time Fiddlers Association<br>This jams location is temporary and will post here when the jam finds a permanent home. Wilbur Welsh says it's ok to call him and see where the temporary jam will be held for now. <br>Tuesday afternoons 3-4:30<br>6:30 TO 8:30<br>Unitarian Universalist Church<br>4831 E 22nd Street<br>Tucson, AZ<br>Wilbur Welsh @ 520-743-7086<br>http://www.arizonaoldtimefiddlers.org/southern_arizona_chapter.htm                                                    JS 12/1/21",Tuesday,weekly gathering
21,"*Tucson, AZ",Old Time Jam.<br>Thursdays 1-3pm<br><br>At the Guitar Center in the Sprouts shopping center. Set up in front of the store. Let's put on a good show.<br>There is lots of parking.<br>Bring a chair and a hat. There is some shade behind a large pillar.<br>Guitar Center<br>3830 W River Rd Suite 110<br><br>Contact: Carina Ravely CRavely@gmail.com<br><br>CR 12/12/22,Thursdays 1-3pm,weekly gathering
22,"*Yuma, AZ","Territorial Chapter of the Arizona Old Time Fiddlers Association is based in Yuma, Arizona<br><br><br>1st and 3rd Tuesdays, 2-4pm, Foothills Library 13226 S Frontage Rd<br><br><br>http://www.yumaoldtimefiddlers.com/<br>Updated CR 2/24/2022","1st and 3rd Tuesdays, 2-4pm",weekly gathering
23,"Yuma, AZ","These RV park jams are not exactly Old Time but travelers may want to know about them. They are likely to be seasonal (winter). Call ahead.<br><br>Sunday<br><br>1:00 Caravan Oasis RV Park, 10500 E North Frontage Rd. 928-342-1480<br>1:00 Sundance RV Park, 13502 E North Frontage Rd. 928-342-9333<br>2:00 Yuma East Country Club RV Park, 11357 E 25th Place. 928-342-7786<br>5:30 Mesa Verde RV Park, 3649 S 4th Ave. 928-726-5814<br><br>Monday<br><br>12:30 Shangrila RV Park 10498 E North Frontage Rd. 928-342-9123<br>1:00 Blue Sky RV Park 10247 E South Frontage Rd. 928-342-1444<br>6:30 Lazy S RV Park 2100 W 3rd St. 928-783-3880<br>6:30 Desert Holiday RV Park 3601 S 4th Ave. 928-344-4680<br><br>Tuesday<br><br>1:00 Capri RV Park 3380 S 4th Ave. 928-726-0959<br>1:00 Foothills Village 12705 E South Frontage Rd. 928-342-1030<br>1:00 Las Quintas RV Park 10242 E North Frontage Rd 928-305-9005<br>1:30 Fortuna de Oro RV Park 13650 E North Frontage Rd. 928-342-5051<br>6:00 Sunridge RV Park 10347 E 34th St. 928-345-4280<br>6:30 Rancho Rialto RV Park 11322 S Avenue 12E 928-345-2147<br><br>Wednesday<br><br>1:00 Mountain Cactus Ranch 10667 S Avenue 10E 928-342-5855<br>12:00 Westwind RV Park 9797 E 32nd St 866-440-2992<br>6:00 Shady Acres RV Park 1340 W 3rd St 928-783-9431<br>7:00 Rolle's Lynda Vista RV Park 290 W 5th St. 928-782-9009<br><br>Thursday<br><br>1:00 Cactus Gardens 10657 S Avenue 9E 928-342-9188<br>1:30 Gila Mountain RV Park 12325 E South Frontage Rd 928-342-1310<br>6:00 Western Sand RV Park 10459 E South Frontage Rd. 928-342-6133<br>6:30 Mesa Terrace 3400 S 4th Ave 928-248-4935<br><br>Friday<br><br>1:00 Desert Paradise RV Park 10537 S Avenue 9E 928-342-9313<br>5:00 Adobe Village RV Park 11350 Payson Dr, 928-345-1154                                                               Updated JS 2/2/23",Thursday,weekly gathering
25,"Mountain View, AR",Longstanding and very loose Traditional and Old Time jams on the Town Square mostly on weekends but sometimes during the week. Nothing is scheduled or organized. Just pick a circle and join in. People just show up usually during the evening hours.                                           Updated JS 2/2/23,evening,weekly gathering
26,"*Springdale, AR","Arkansas State Oldtime Fiddlers Association<br>Monthly meetings at John Powell Senior Citizens Center, 610 Grove Ave., Springdale, AR on the second Sunday of each month from 1:30 to 4 PM.<br>This jam is a mix of Old Time, Bluegrass and Country. <br> Also potluck/jam at 6 pm on the second Tues of ea month. Membership dues are $10.00 for one person or $15.00 for any two living at the same mailing address. Please make check payable to Arkansas State Old Time Fiddlers Assoc., and mail to: Arkansas State Old time Fiddler's Assoc, 232 Madison 6039, Elkins, AR 72727.<br>OBJECT: The object of Arkansas State Oldtime Fiddlers Association is to bring musicians together in an non-competitive basis to promote and enjoy music --especially fiddle music.<br><br>https://www.facebook.com/groups/112091948967239/<br><br>JS 11/1/21",second Sunday,weekly gathering
27,"*Springdale, AR","Old Time Open Jam                                                     at the Shiloh Museum of Ozark History in the General Store building on the second and fourth Wednesdays from 6 PM until 9 PM in Springdale, Arkansas. It’s oldtime only. Address is 118 W Johnson Ave.  <br><br> Updated CR 12/15/22",second and fourth Wednesdays,weekly gathering
28,"Arroyo Grande, CA","Old Time Jam<br>Branch Street Deli<br>203 East Branch Street<br>Arroyo Grande, CA 93420<br>2nd and 4th Monday<br>6:00 - 8:00                                                                     Updated JS 2/2/23",Monday,weekly gathering
30,"Berkeley, CA   • Freight & Salvage Coffeehouse","FREIGHT & SALVAGE COFFEEHOUSE, BERKELEY, CA. <br>A friendly and informal monthly oldtime jam usuallu on 3rd or 4th SUNDAY AFTERNOON from 1 to 4 pm, in or near the Freight & Salvage lobby, FREE and open to all. Check schedule and more info about this oldtime jam at thefreight.org/event/1575241-sunday-old-time-jam-berkeley/<br><br>No advance registration — just show up whenever you can! However, please check in at the box office desk when you arrive. This is to count attendance, which might affect future assignment of space.<br><br>See Freight jams schedule for other sessions, some free and some with a small registration charge, including bluegrass with Richard Brandenburg and blues with David Matthews also on Sundays.<br>thefreight.org/learn-to-play/jams/<br><br>The Freight also hosts weekly classes and one-off workshops. <br>thefreight.org/learn-to-play/classes/<br>thefreight.org/learn-to-play/workshops/<br><br>Directions and Parking <br>thefreight.org/visit/                                                     Updated JS 2/2/23",1 to 4 pm,weekly gathering
31,"Berkeley, CA","Open Band for Contras and ECD<br>The location for upcoming dances are:<br>	Christ Church Berkeley<br>	2138 Cedar St,<br>	Berkeley, CA<br><br>Our weekly dance goes from 8:00 to 10:30 pm. There is often a beginners' workshop at 7:30.<br><br>The first, third, & fifth Wednesdays are contra dances<br>	We advertise as ""open band,"" but it's a modified open band<br>	That means, the paid band uses mics. They make all musical choices. Players are welcome to sit behind them and play along. Some bands include sitters in when making choices. Some provide dots. Some say hello and go about their business...<br>	Itinerant bands can choose to not be this modified ""open.""<br><br>The Berkeley contra generally is having a Fifth Wednesday Community Band Night<br>	We usually have one rehearsal (sometimes two) prior to the dance.Contact Erik Hoffman <erik@erikhoffman.com>  Sets are created by people suggesting tunes they like. If there are enough people to play them, and at least one who can lead them, we work to include it in a set. <br>	I used to wait until the rehearsal, and have attendees work on picking sets. But enough people want to run through them earlier, so now we ask callers to program the dance early, and I pick the sets after sending an email for requests. Then I send out a copy of the set list, usually with a section that includes the dance figures. Our set book PDF, a supplementary book with some variations and bowings for tunes is also included, along with new tunes that have yet to be added to the Set Book are are all available on my Google Drive:<br>https://drive.google.com/open?id=1cKcY2c3XRpgZckJB8GWAvpDvfRfSeUd2<br><br>Second and fourth Wednesdays are English Country dances<br>	Second Wednesday ECDs are not open<br>	Fourth Wednesday ECDs are open<br>		Usually, the English dances don't mic the musicians. This means:<br>		If you join in, you can play at the same dynamic level as the paid musicians...<br>	Since English dances have their own tunes, organizers work with the caller to<br>	send out the program early, thus sitters in can run through the tunes prior to the dance<br>	Musicians are expected to have the Barnes' English Country Dance Tunes (there are now three of them...)<br>	If tunes are not in the Barnes' books, they send out pdfs via a list.<br>I know there's a way to get on the mailing list and get PDFs prior to the dance. I think it's here:<br>https://www.bacds.org/mailman/listinfo/berkeley-wed-english<br><br>Which, finally, brings up a point. Most of the dances for which I've led Community Band Nights are put on by The Bay Area Country Dance Society. With a bit of poking around BACDS' website, you can find out when they happen:<br>https://www.bacds.org<br><br>CR 5/17/2019",8:00 to 10:30 pm,weekly gathering
32,"*Canoga Park , CA","The West San Fernando Valley Old Time Jam.<br>We now meet on 2nd & 4th Thursdays at Jerry's Pizzeria, 22035 Sherman Way, Canoga Park, CA 91303 from 6 to 9 pm. They have really, really good pizza.<br><br><br>The surest way to find out about the jam is to contact me at: <br> Andy Denes, 805-368-8115, matchbookholder@yahoo.com<br><br> Never been to an old-time music jam? Here's how it works. People who play old-time (traditional, hillbilly, southeastern, mountain, pre-1940 country, old-timey) music sit around in a circle and play for three hours while eating and drinking. Instruments include fiddle, banjo, guitar, bass, mandolin, ukulele, and sometimes others. All acoustic instruments, no amplification. We play the same tune over and over until we decide to go on to another one. No one takes ""breaks"" as in jazz or bluegrass -- we all play together. Generally in the keys of D, G, A, and C major, with some odd modal notes thrown in. Occasionally we'll sing as well. No sheet music -- it's all by ear. Appropriate for all ages and levels of expertise.<br><br>Updated CR 1/29/23",2nd & 4th Thursdays,weekly gathering
33,"Castro Valley, CA","Monthly Jam and Potluck<br><br>When 4th Sunday of every month (except December, when we meet on the 2nd Sunday).<br><br>Where United Methodist Church 19806 Wisteria Street, Castro Valley.<br><br>Time 1:30 – 5:00 PM<br><br>Door Donation: First-time visitors, free CSOTFA Members: $4 Non-members: $5<br><br>Calif. State Old-Time Fiddlers Ass'n Dist. 9  see www.csotfa9.org                                                          Updated JS 2/2/23",4th Sunday,weekly gathering
34,"Chatsworth, CA","3:30pm - 5:00pm CHATWORTH FAMILY FIDDLE JAM<br>fourth Sunday<br>Chatsworth Park North<br>22300 Chatsworth St., Chatsworth, CA<br>Shanon Garcia shanonmichelle@gmail.com<br><br><br>https://folkworks.org/folk-happenings/folkworks-music-calendar<br><br>CR 6/29/2019",fourth Sunday,weekly gathering
38,"*Dutch Flat, CA","3rd Sundays: (Debby McClatchy host, Old-Time tunes & songs, moderate pace. Dutch Flat, 1:00-4:00. Outdoors, bring your own chair. Vaccinated Only, please.) Confirm location / times before travelling.<br><br>https://www.facebook.com/groups/sierraoldtime/permalink/1860929687398698<br><br>CR 3/17/2022",3rd Sundays,weekly gathering
39,"Encinitas, CA","California Old Time Fiddlers Dist 7<br>3rd Sundays Fiddle Tune Jam<br>12 - 2:30 PM<br>Join us at Coffee & Co. 1465 Encinitas Blvd, Encinitas, CA <br>Fiddlers, guitarists, mandolinists, cellists, banjo players - anyone/everyone who likes to play or back fiddle tunes on an acoustic instrument is welcome.<br>https://www.facebook.com/events/2069195743393127/<br>Contact: Avery Ellisman 760-522-8458<br>CR 11/6/18",3rd Sundays,weekly gathering
42,"Fresno, CA","Friends of Kenny Hall Old Time Jam<br>Every Wednesday 5:30 - 7:30pm<br>Santa Fe Basque Restaurant<br>3110 N Maroa Ave, Fresno, CA<br>Contact: Barbara La Rae Brown 559-260-7691      Updated JS 2/2/23",Wednesday,weekly gathering
43,"*Fullerton, CA","The Living Tradition Jam.<br> are held on the second Saturday of the month from 2 to 4:30 PM at the<br><br> Emmanuel Episcopal Church<br> 1145 W. Valencia Mesa Drive<br> Fullerton, Calif. <br>Jams feature a round-robin style, and players choose a variety of traditional folk tunes, mostly from the Fiddlers’ Fake Book (by David Brody) and the Portland Collection (by Susan Songer).<br><br>http://www.thelivingtradition.org/tltbodyjams.html<br><br>https://www.facebook.com/TheLivingTradition    Updated CR 3/7/2023",second Saturday,weekly gathering
44,"*Fullerton, CA","CALIFORNIA STATE OLD TIME FIDDLERS ASSOCIATION – DISTRICT 4 JAM<br><br>Friends, we are still on Zoom for our monthly ""jams"". This January 2022 jam is on the 9th instead of the first Sunday. Contact Pat, or Patty McCollom for the Zoom login info.<br>Also, we lost our previous physical meeting/jamming location in Fullerton and are looking for another for when more folks are comfortable meeting in person. If you have any leads on a cheap/free space, please let us know!<br>Neil Brand 949-633-4203 <br><br>https://www.facebook.com/CSOTFA4/<br><br>CR 3/7/2023",9th instead of the first Sunday,weekly gathering
45,"*Grass Valley, CA","1st Sundays: (Ron Milner host, at the ""UnChurch"", Breese Rd, GV. Beginner friendly, all levels welcome, vaccinated please. 1:00-4:00)- <br><br>https://www.facebook.com/groups/sierraoldtime/permalink/1860929687398698<br><br>CR 3/17/2022",1st Sundays,weekly gathering
46,"*Grass Valley, CA","4th Sundays: (Geff & Masha Goodman Crawford host, old-time jam. Wild Eye Pub, <br>535 Mill St, Grass Valley, CA.<br> Vaccinated please. 4:00-6:00, outdoors if weather permits)<br><br>https://www.facebook.com/groups/sierraoldtime/permalink/1860929687398698<br><br>CR 3/17/2022",4th Sundays,weekly gathering
47,"Hanford,CA",Kings Fiddlers<br>Keeping old-time fiddle music alive for the next generation<br>https://www.kingsfiddlers.com/<br><br>Send us a message for more information about our jam sessions and events.<br><br>KingsFiddlers@gmail.com                                         Updated JS 2/2/23,jam sessions,annual event
48,"Hermosa Beach, CA","Second Saturday of every month. 1-4pm.               home of Jim & Carole Shakely-Parkman, 657 Porter Lane, Hermosa Beach, CA                              Updated JS 2/2/23",Second Saturday,weekly gathering
49,"Idyllwild, CA",Tuesdays starting at 5:30<br>American Legion<br>54360 Marian View Dr<br><br>Beginners to Professionals welcome<br><br>For more information please leave a message for Steve 949-683-0589<br><br>CR 8/3/2019,Tuesdays,weekly gathering
50,"*Kelseyville, CA","Ely Stage Stop<br>9921 Soda Bay Rd. Kelseyville, CA 95451, about 1/2 mile from Hwy 29 on the left.<br>Old Time Session: First Sunday of the month 12-2pm<br>Contact: Don Coffin at:drcoffin@att.net 707-995-0658<br>or<br>Andi Skeltonskeltonmusic@jps.net 707-279-4336 Open jam sponsored by CSOTFA District 10<br><br>http://www.csotfa10.org/<br><br>CR 6/23/2022",12-2pm,weekly gathering
51,"Lafayette, CA","First Saturday 2pm-4pm<br>Old time & bluegrass<br>Lamorinda Music Store, <br>81 Lafayette Circle, Lafayette.<br>coordinated by John Gruenstein, with slow jam for the 1st1/2 -1 hr (depending on interest) with regular jam for the remaining time. <br>john AT lamorindamusic.com or call the store: (925) 385-0963<br><br>CR 2/1/2020",First Saturday 2pm-4pm,weekly gathering
52,"*La Mesa, CA","Mike Griffin from the House of Ireland is hosting a new weekly Sunday afternoon open session at Hooley's at Grossmont Center in La Mesa. <br>First session is scheduled for Sunday, April 3rd, starting at 4:00 PM<br>If you are interested and have any questions, please contact him directly at: 808-226-7895 or dcapn@hotmail.com<br><br>CR 3/29/2022",Sunday,weekly gathering
54,"Los Angeles, CA","1:00pm - 4:00pm OLD TIME MUSIC JAM (TRADITIONAL SOUTHERN FIDDLE AND BANJO)<br>fourth Saturday<br>Audubon Nature Center, Debs Park<br>4700 N Griffin Ave., Highland Park; off the 110 Fwy, Los Angeles, CA 90031<br>323-221-2255 <br><br><br>https://folkworks.org/folk-happenings/folkworks-music-calendar<br><br>CR 6/29/2019",fourth Saturday,weekly gathering
55,"Los Angeles, CA",1st Thursday 8PM – 11PM<br>1642 OT Jam / Host Kelly Marie Martin <br>1642 Bar: 1642 Temple St. Echo Park<br><br>https://www.facebook.com/groups/OTLACommunity/<br><br>CR 1/14/2019,Thursday 8PM – 11PM,weekly gathering
57,"*Nevada City, CA","2nd Sundays: (Margo Meredith host, Nevada City library 4-6:00, slow jam, great opportunity to learn new tunes. Bring a chair) <br><br>https://www.facebook.com/groups/sierraoldtime/permalink/1860929687398698<br><br>CR 3/17/2022",2nd Sundays,weekly gathering
59,"Oakland, CA","What: VERY SLOW JAM or SLOW JAM<br><br>Location: Oakland, California (open jam in private home email lovesoldtimemusic@gmail.com for details)<br><br>Date: 2nd Friday of the Month<br><br>Time: 7pm - 8:30pm (slow jam ends and folks can stay to play at a faster pace/different instruments)<br><br>Snacks: Bring your own snack. Bring your own beer.<br><br>If you play another instrument at a faster pace feel free to bring it. Faster jamming and singing will start after 8:30. Everyone is welcome to hang out but we will be playing at a faster pace.<br><br>Old Time Slow Jam Guidelines<br>We will all be friendly, respectful, kind to one another, have a good time and learn something. It sounds basic but it’s important to let everyone know what type of jam space we are creating together.<br><br>This is a supportive environment to work on your skills. We are all beginners or intermediate players wanting to work at a relaxed pace.<br><br>If you don’t know something this will be a safe place to ask. We will share our knowledge. Also, we might not know but we will make something up, ask google or try to find the answer.<br><br>Be prepared to make mistakes and try again. We may play the same tune a very long time, more than once, restart or play at a variety of tempos.<br><br>The tunes will be fiddler’s choice and will rotate depending on how many are attending. Expect not to know tunes and work on chasing them.<br><br>We will be playing in multiple keys. Bring a capo. Bring a tuner and expect to practice retuning your instrument. If that is hard for you don’t worry. We will wait and since many folks also play multiple instruments we can help out.<br><br>Loud percussive instruments like the spoons may not be appropriate for this jam. Be prepared to ask the group for permission to play them.        Updated JS 2/2/23",2nd Friday,weekly gathering
60,"Oakland, CA","Old Time Open Jam                                                    Niebyl-Proctor Marxist Library <br>6501 Telegraph Ave, Oakland, CA                             1st and 3rd Thursdays. 7:30-10pm  <br>Participants generally contribute $5 toward the room rental.                                                                   Updated JS 2/2/23",Thursdays,weekly gathering
62,"*Orangevale, CA","CALIFORNIA STATE OLD TIME FIDDLERS ASSOCIATION DISTRICT # 5 <br>Jam<br>2nd Sundays<br>12-4pm<br>Orangevale Grange<br>5807 Walnut Avenue, Orangevale CA<br><br>http://www.csotfa5.org/<br><br>CR 10/22/22",Sundays,weekly gathering
63,"*Oroville, CA","California State Old-Time Fiddlers' Association<br>Dist 1<br>Jam Sessions ~ 1 to 5 p.m. ~ 4th Sunday of each month.....<br>(excluding holidays)<br>Feather River Senior Center, 1335 Myers Street, Oroville, CA 95965<br>ADMISSION IS FREE....PUBLIC WELCOME!!<br><br>https://csotfad1.weebly.com/jam-sessions.html<br><br>Updated CR 10/21/22",4th Sunday,weekly gathering
64,"*Palo Alto, CA","Santa Clara Valley Fiddlers Assn.<br>3rd Sundays<br>1-3pm<br>Note: rain cancels this outdoor jam<br><br>This is a roving jam and will be held at different local parks throughout the year. So, sign up for our mailing list—or better yet, join the SCVFA for early notices and to suggest your favorite park for an upcoming jam!<br><br>https://www.fiddlers.org/<br><br>CR 5/15/2022",3rd Sundays,annual event
65,"*Palo Alto, CA","South Bay Old Time Jam<br>Every Monday, 7-9pm <br> Unitarian Universalist Church of Palo Alto at 505 East Charleston Road in Palo Alto<br> http://www.showman.org/jams/oti/<br><br>CR 10/21/22","Monday, 7-9pm",weekly gathering
66,"Petaluma, CA",First Thursday each month.<br>7:00 pm - 9:00 pm<br>Suspended. Looking for new location.<br><br>Update CR 6/14/2019,Thursday,weekly gathering
67,"*Redondo Beach, CA",Old time recurring jam in Redondo Beach Ca.. Starting Jan. 2023<br> South Redondo Beach Ca… <br> email for details <br>bbajili@earthlink.net<br><br>CR 10/20/2022,Jan. 2023,annual event
68,"*Redding, CA","IOOF HALL 1504 Market St, Redding<br><br>The District 6 Old Time Fiddle Concert and Jam Session<br>1st and 3rd Sunday of each month.<br>at 1-3 PM<br><br>Public invited. Free admision - Donations accepted<br><br>Call George Fredson for more information: 530-604-8706<br>or Lloyd Raeg at 530-474-3286<br><br>https://www.facebook.com/csoftad6<br><br>Updated CR 10/21/2022",1st and 3rd Sunday,weekly gathering
70,"*San Diego, CA","Old time music in San Diego..<br>Hey everyone, in the spirit of broadening old time music in San Diego I want to try some things.. we are going to continue to jam from 11:00 to 1:00 on every Saturday but the locations will be different.. <br>First Saturday will be Poway at Aubrey Park..<br> Second Saturday will be la Mesa at Harry Griffin Park..<br> Third Saturday will be at Cardiff at Glen Park.. and<br> Forth Saturday will be mission Bay at de Anza cove the big tree..<br> if anyone wants one of these locations to be every Saturday for them and are willing to host each jam.. then it's conceivable that we could have old time music in all four locations every Saturday from 11 to 1..... but I will host each location on the Saturday prescribed.. so this Saturday, October 8th the old time jam will be at Harry Griffin Park near Grossmont high School.. Google will get you to the park and we will be playing near the children's play area and restroom.<br><br>https://www.facebook.com/groups/575726255877673<br><br>CR 10/15/2022",Saturday,weekly gathering
73,"San Francisco, CA","San Francisco OT jam<br> Odd*Tuesdays, 7-10 pm, <br>Coffee Shop at the Safeway Community Market (formerly Andronico's), 1200 Irving in the Sunset District. (*Odd means first, third and that rare fifth Tuesday of every month.)<br>You’ll find us in the cafeteria area inside, adjacent to the doors (yeah the ones that keep swinging open and closed) that lead to the parking lot. Wear layers! Fleece hat recommended, too! San Francisco summer, folks!<br><br>For moreinformation, contact Dinah Stroe at dinahbeatrice AT gmail.com.<br><br>Updated CR 2/1/2020",Tuesday,weekly gathering
76,"*San Jose, CA","Santa Clara Valley Fiddlers Ass'n Jam <br>Monthly jams are held on the first Sunday of each month from 1 PM to 5 PM<br>with old-time, bluegrass, more.  www.fiddlers.org<br><br>Updated CR 5/15/2022",Sunday,weekly gathering
